Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Društvo,223,ChatGPT,51.0556,0.0161,0.1111,0.1176,0.0,0.1176,0.69
Društvo,223,Gemini,41.7727,0.0323,0.0909,0.0784,0.0,0.0784,0.6754
Društvo,223,Claude,76.5833,0.0054,0.0,0.1,0.0,0.1,0.6903
Društvo,224,Ekstraktivna,9.0,0.0787,0.4348,0.16,0.0,0.12,0.6842
Društvo,224,Apstraktivna,11.5,0.0,0.0,1.0,1.0,1.0,1.0
Društvo,224,ChatGPT,14.7857,0.0394,0.1429,0.0541,0.0,0.0541,0.6701
Društvo,224,Gemini,20.7,0.0079,0.0,0.1176,0.0,0.1176,0.6438
Društvo,224,Claude,13.8,0.0157,0.0,0.0541,0.0,0.0541,0.6742
Društvo,225,Ekstraktivna,12.5185,0.0337,0.0741,0.08,0.0,0.08,0.6485
Društvo,225,Apstraktivna,16.0952,0.0192,0.1905,1.0,1.0,1.0,1.0
Društvo,225,ChatGPT,19.8824,0.0144,0.2353,0.1579,0.0,0.1053,0.6693
Društvo,225,Gemini,13.52,0.024,0.0,0.0435,0.0,0.0435,0.6209
Društvo,225,Claude,26.0,0.0,0.0,0.0588,0.0,0.0588,0.7063
Društvo,226,Ekstraktivna,25.4,0.0333,0.32,0.1695,0.0351,0.1356,0.6562
Društvo,226,Apstraktivna,22.6786,0.0139,0.1429,1.0,1.0,1.0,1.0
Društvo,226,ChatGPT,33.4211,0.0167,0.3158,0.08,0.0,0.08,0.6849
Društvo,226,Gemini,33.4211,0.0139,0.2105,0.12,0.0417,0.12,0.6453
Društvo,226,Claude,52.9167,0.0028,0.0,0.0889,0.0,0.0444,0.6703
Društvo,227,Ekstraktivna,8.7742,0.0667,0.1935,0.1455,0.0,0.1455,0.7034
Društvo,227,Apstraktivna,12.9524,0.0061,0.0,1.0,1.0,1.0,1.0
Društvo,227,ChatGPT,12.9524,0.0242,0.0952,0.2553,0.0444,0.2553,0.7048
Društvo,227,Gemini,16.0,0.0121,0.0,0.05,0.0,0.05,0.6364
Društvo,227,Claude,30.2222,0.0061,0.0,0.1714,0.0,0.1143,0.7063
Društvo,228,Ekstraktivna,9.4,0.122,0.4,0.0702,0.0,0.0702,0.6436
Društvo,228,Apstraktivna,11.75,0.0163,0.1,1.0,1.0,1.0,1.0
Društvo,228,ChatGPT,16.7857,0.0407,0.0,0.0976,0.0,0.0976,0.6582
Društvo,228,Gemini,11.1905,0.0813,0.4762,0.0417,0.0,0.0417,0.6223
Društvo,228,Claude,21.3636,0.0081,0.0,0.1143,0.0,0.1143,0.7028
Društvo,229,Ekstraktivna,16.8065,0.0408,0.1935,0.1034,0.0,0.069,0.6703
Društvo,229,Apstraktivna,23.6818,0.0034,0.0,1.0,1.0,1.0,1.0
Društvo,229,ChatGPT,23.6818,0.0238,0.0,0.0833,0.0,0.0417,0.6583
Društvo,229,Gemini,20.0385,0.0374,0.0769,0.08,0.0,0.08,0.634
Društvo,229,Claude,40.0769,0.0068,0.0,0.0976,0.0,0.0488,0.6739
Društvo,230,Ekstraktivna,7.3409,0.108,0.3636,0.24,0.0,0.1333,0.6574
Društvo,230,Apstraktivna,11.963,0.0455,0.1481,1.0,1.0,1.0,1.0
Društvo,230,ChatGPT,16.15,0.0398,0.2,0.2041,0.0,0.1633,0.6816
Društvo,230,Gemini,13.4583,0.0625,0.3333,0.1455,0.0,0.1091,0.6384
Društvo,230,Claude,19.0,0.0341,0.3529,0.2174,0.0,0.1739,0.7133
Društvo,231,Ekstraktivna,8.3824,0.0696,0.2941,0.1034,0.0,0.069,0.6829
Društvo,231,Apstraktivna,16.7647,0.0127,0.0,1.0,1.0,1.0,1.0
Društvo,231,ChatGPT,17.8125,0.0316,0.125,0.1538,0.0541,0.1538,0.7193
Društvo,231,Gemini,17.8125,0.0443,0.25,0.2162,0.0571,0.1622,0.6638
Društvo,231,Claude,21.9231,0.0063,0.0,0.1667,0.0,0.1111,0.6517
Društvo,232,Ekstraktivna,8.0263,0.0667,0.2632,0.1408,0.0,0.1408,0.6886
Društvo,232,Apstraktivna,11.2963,0.0111,0.0,1.0,1.0,1.0,1.0
Društvo,232,ChatGPT,20.3333,0.0278,0.0,0.2174,0.0455,0.1304,0.6838
Društvo,232,Gemini,15.25,0.0333,0.2,0.1509,0.0,0.1509,0.6767
Društvo,232,Claude,21.7857,0.0056,0.0,0.1702,0.0444,0.1702,0.6908
Društvo,233,Ekstraktivna,6.4643,0.1531,0.4286,0.1091,0.0,0.1091,0.6439
Društvo,233,Apstraktivna,11.3125,0.0204,0.0,1.0,1.0,1.0,1.0
Društvo,233,ChatGPT,15.0833,0.0612,0.3333,0.0,0.0,0.0,0.6362
Društvo,233,Gemini,9.5263,0.0612,0.3158,0.1818,0.0,0.1364,0.6247
Društvo,233,Claude,15.0833,0.0,0.0,0.0588,0.0,0.0588,0.7057
Društvo,234,Ekstraktivna,6.8889,0.1126,0.3889,0.0606,0.0,0.0303,0.6426
Društvo,234,Apstraktivna,12.4,0.0199,0.0,1.0,1.0,1.0,1.0
Društvo,234,ChatGPT,16.5333,0.0397,0.2667,0.0488,0.0,0.0488,0.643
Društvo,234,Gemini,13.0526,0.0464,0.2105,0.0,0.0,0.0,0.6172
Društvo,234,Claude,19.0769,0.0,0.0,0.1053,0.0,0.1053,0.7002
Društvo,235,Ekstraktivna,9.2821,0.0842,0.4103,0.2254,0.087,0.1408,0.7151
Društvo,235,Apstraktivna,13.4074,0.0149,0.1481,1.0,1.0,1.0,1.0
Društvo,235,ChatGPT,22.625,0.0099,0.125,0.25,0.0435,0.1667,0.7086
Društvo,235,Gemini,15.7391,0.0396,0.1739,0.2264,0.1176,0.2264,0.6521
Društvo,235,Claude,30.1667,0.005,0.1667,0.1364,0.0,0.1364,0.6831
Društvo,236,Ekstraktivna,6.7361,0.0704,0.2778,0.1905,0.0194,0.0952,0.6641
Društvo,236,Apstraktivna,17.3214,0.0469,0.1429,1.0,1.0,1.0,1.0
Društvo,236,ChatGPT,24.25,0.0469,0.3,0.2745,0.0408,0.1961,0.703
Društvo,236,Gemini,17.963,0.0376,0.2222,0.1404,0.0364,0.0702,0.6419
Društvo,236,Claude,37.3077,0.0141,0.0,0.1633,0.0,0.0816,0.6927
Društvo,237,Ekstraktivna,8.3333,0.087,0.4444,0.129,0.0,0.0968,0.6541
Društvo,237,Apstraktivna,15.0,0.0109,0.1,1.0,1.0,1.0,1.0
Društvo,237,ChatGPT,17.6471,0.038,0.3529,0.0,0.0,0.0,0.6668
Društvo,237,Gemini,16.6667,0.0489,0.3333,0.1951,0.0,0.0976,0.6432
Društvo,237,Claude,33.3333,0.0,0.0,0.0645,0.0,0.0645,0.658
Društvo,238,Ekstraktivna,0.6034,0.1154,0.0345,0.1524,0.0194,0.1143,0.6779
Društvo,238,Apstraktivna,0.9722,0.1538,0.0,1.0,1.0,1.0,1.0
Društvo,238,ChatGPT,2.3333,0.0,0.0,0.1404,0.0727,0.1404,0.6926
Društvo,238,Gemini,1.6667,0.0385,0.0952,0.1905,0.0328,0.1905,0.6685
Društvo,238,Claude,2.1875,0.0,0.0,0.2,0.0,0.1667,0.7247
Društvo,239,Ekstraktivna,0.8684,0.1111,0.0526,0.127,0.0,0.127,0.6593
Društvo,239,Apstraktivna,1.7368,0.0741,0.0,1.0,1.0,1.0,1.0
Društvo,239,ChatGPT,2.0625,0.037,0.0,0.0513,0.0,0.0513,0.6952
Društvo,239,Gemini,2.3571,0.1111,0.1429,0.0513,0.0,0.0513,0.6375
Društvo,239,Claude,2.5385,0.0,0.0,0.1081,0.0,0.1081,0.6757
Društvo,240,Ekstraktivna,1.075,0.1071,0.1,0.1429,0.0,0.0571,0.6733
Društvo,240,Apstraktivna,2.3889,0.0714,0.0,1.0,1.0,1.0,1.0
Društvo,240,ChatGPT,2.8667,0.1429,0.2667,0.1081,0.0,0.0541,0.6972
