Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Biznis,362,Ekstraktivna,0.125,0.3333,0.0208,0.1361,0.0,0.0952,0.6813
Biznis,362,Apstraktivna,0.4138,0.0,0.0,1.0,1.0,1.0,1.0
Biznis,362,ChatGPT,0.9231,0.0,0.0,0.2609,0.0455,0.2174,0.7628
Biznis,362,Gemini,1.0909,0.0,0.0,0.0909,0.0,0.0909,0.6928
Biznis,362,Claude,0.9231,0.0,0.0,0.1633,0.0,0.1633,0.7106
Biznis,363,Ekstraktivna,0.2319,0.0,0.0,0.1416,0.018,0.1416,0.6659
Biznis,363,Apstraktivna,0.6154,0.2222,0.0,1.0,1.0,1.0,1.0
Biznis,363,ChatGPT,1.4545,0.1111,0.0,0.2273,0.0952,0.1818,0.7082
Biznis,363,Gemini,1.4545,0.0,0.0,0.1364,0.0,0.1364,0.6597
Biznis,363,Claude,1.4545,0.0,0.0,0.1364,0.0476,0.1364,0.6489
Biznis,364,Ekstraktivna,0.5185,0.6667,0.2222,0.1639,0.0339,0.1639,0.6634
Biznis,364,Apstraktivna,0.7368,0.1111,0.0,1.0,1.0,1.0,1.0
Biznis,364,ChatGPT,1.4,0.1111,0.0,0.2162,0.0571,0.2162,0.7318
Biznis,364,Gemini,1.0769,0.0,0.0,0.2051,0.0541,0.2051,0.6734
Biznis,364,Claude,1.2727,0.1111,0.0,0.25,0.1579,0.25,0.7052
Biznis,365,Ekstraktivna,0.2364,0.4545,0.0,0.0533,0.0,0.0533,0.6438
Biznis,365,Apstraktivna,0.8125,0.0,0.0,1.0,1.0,1.0,1.0
Biznis,365,ChatGPT,1.0833,0.0,0.0,0.1379,0.0,0.1379,0.7009
Biznis,365,Gemini,1.1818,0.0,0.0,0.0,0.0,0.0,0.6736
Biznis,365,Claude,1.1818,0.0909,0.0,0.0714,0.0,0.0714,0.675
Biznis,366,Ekstraktivna,0.2558,0.2,0.0,0.3077,0.0789,0.2051,0.7261
Biznis,366,Apstraktivna,0.3667,0.0,0.0,1.0,1.0,1.0,1.0
Biznis,366,ChatGPT,0.8462,0.0,0.0,0.2174,0.0455,0.2174,0.7246
Biznis,366,Gemini,0.8462,0.0,0.0,0.3043,0.0455,0.1739,0.7506
Biznis,366,Claude,1.0,0.0,0.0,0.1333,0.0,0.0889,0.7076
Biznis,367,Ekstraktivna,0.2653,0.4444,0.0816,0.2025,0.0519,0.1519,0.6989
Biznis,367,Apstraktivna,0.619,0.1111,0.0952,1.0,1.0,1.0,1.0
Biznis,367,ChatGPT,1.1818,0.1111,0.1818,0.2222,0.0588,0.1667,0.713
Biznis,367,Gemini,1.1818,0.3333,0.3636,0.1667,0.0588,0.1111,0.7101
Biznis,367,Claude,1.3,0.1111,0.0,0.2222,0.0588,0.1111,0.698
Biznis,368,Ekstraktivna,0.2683,0.5556,0.0976,0.2632,0.0541,0.1842,0.7189
Biznis,368,Apstraktivna,0.5238,0.3333,0.0952,1.0,1.0,1.0,1.0
Biznis,368,ChatGPT,0.8462,0.0,0.0,0.1622,0.0,0.1622,0.666
Biznis,368,Gemini,0.9167,0.2222,0.1667,0.1053,0.0,0.0526,0.6525
Biznis,368,Claude,1.0,0.2222,0.1818,0.1667,0.0588,0.1667,0.7374
