Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Politika,81,Claude,13.3333,0.0106,0.0,0.2424,0.0312,0.1515,0.7106
Politika,82,Ekstraktivna,2.7935,0.3097,0.4348,0.2169,0.061,0.1807,0.7425
Politika,82,Apstraktivna,5.587,0.071,0.087,1.0,1.0,1.0,1.0
Politika,82,ChatGPT,6.2683,0.071,0.1951,0.3019,0.0769,0.2642,0.7602
Politika,82,Gemini,6.2683,0.0903,0.0976,0.3019,0.0962,0.2642,0.758
Politika,82,Claude,9.8846,0.0,0.0,0.1163,0.0,0.093,0.7075
Politika,83,Ekstraktivna,11.7821,0.0806,0.4615,0.2937,0.156,0.2378,0.7214
Politika,83,Apstraktivna,23.5641,0.0242,0.2564,1.0,1.0,1.0,1.0
Politika,83,ChatGPT,24.8378,0.0349,0.3784,0.2366,0.0879,0.2151,0.7384
Politika,83,Gemini,31.6897,0.0269,0.2759,0.2892,0.1481,0.2892,0.7183
Politika,83,Claude,43.7619,0.0,0.0,0.1867,0.1096,0.1867,0.6918
Politika,84,Ekstraktivna,5.3077,0.1417,0.4615,0.1667,0.0244,0.119,0.6822
Politika,84,Apstraktivna,6.9,0.0315,0.1333,1.0,1.0,1.0,1.0
Politika,84,ChatGPT,10.35,0.0394,0.3,0.1967,0.0,0.1311,0.6955
Politika,84,Gemini,10.8947,0.0236,0.0,0.1017,0.0,0.1017,0.6625
Politika,84,Claude,10.8947,0.0079,0.0,0.0702,0.0,0.0351,0.667
Politika,85,Ekstraktivna,5.1212,0.1442,0.5152,0.1296,0.0,0.0926,0.671
Politika,85,Apstraktivna,9.6571,0.0337,0.0571,1.0,1.0,1.0,1.0
Politika,85,ChatGPT,10.5625,0.0288,0.0625,0.2222,0.0,0.1389,0.7104
Politika,85,Gemini,13.0,0.0337,0.1538,0.1562,0.0,0.125,0.7093
Politika,85,Claude,16.9,0.0048,0.0,0.2373,0.0351,0.2034,0.6991
Politika,86,Ekstraktivna,7.3514,0.0848,0.2703,0.2667,0.0548,0.1867,0.731
Politika,86,Apstraktivna,9.3793,0.0182,0.1379,1.0,1.0,1.0,1.0
Politika,86,ChatGPT,9.7143,0.0424,0.1429,0.254,0.0656,0.254,0.7483
Politika,86,Gemini,7.5556,0.0303,0.1111,0.274,0.1127,0.2192,0.7385
Politika,86,Claude,12.3636,0.0,0.0,0.2295,0.0,0.1639,0.6807
Politika,87,Ekstraktivna,15.119,0.0472,0.2857,0.137,0.0282,0.137,0.6826
Politika,87,Apstraktivna,24.4231,0.0194,0.2308,1.0,1.0,1.0,1.0
Politika,87,ChatGPT,30.2381,0.0194,0.1905,0.25,0.0741,0.2143,0.7471
Politika,87,Gemini,22.6786,0.0194,0.2143,0.3,0.1379,0.3,0.7193
Politika,87,Claude,33.4211,0.0111,0.0,0.2222,0.0385,0.1852,0.7005
Politika,88,Ekstraktivna,5.1087,0.2033,0.4783,0.2444,0.0909,0.1778,0.6834
Politika,88,Apstraktivna,9.0385,0.065,0.1538,1.0,1.0,1.0,1.0
Politika,88,ChatGPT,9.4,0.065,0.48,0.2333,0.069,0.1333,0.6948
Politika,88,Gemini,10.2174,0.0488,0.087,0.1455,0.0755,0.1455,0.7004
Politika,88,Claude,13.0556,0.0081,0.0,0.2041,0.0,0.2041,0.6997
Politika,89,Ekstraktivna,8.541,0.0952,0.2623,0.1852,0.0377,0.1481,0.6827
Politika,89,Apstraktivna,14.0811,0.0374,0.0541,1.0,1.0,1.0,1.0
Politika,89,ChatGPT,14.8857,0.0272,0.0,0.1481,0.0253,0.1235,0.6997
Politika,89,Gemini,16.8065,0.0272,0.0645,0.2078,0.0,0.1299,0.6798
Politika,89,Claude,22.6522,0.0068,0.0,0.1408,0.029,0.1127,0.6552
Politika,90,Ekstraktivna,4.8209,0.1705,0.3582,0.2056,0.0571,0.1308,0.6904
Politika,90,Apstraktivna,10.0938,0.0511,0.25,1.0,1.0,1.0,1.0
Politika,90,ChatGPT,11.5357,0.0568,0.1429,0.2319,0.0299,0.1739,0.7044
Politika,90,Gemini,12.92,0.0227,0.0,0.2623,0.1017,0.2295,0.7171
Politika,90,Claude,17.0,0.0114,0.0,0.2105,0.0,0.1404,0.7189
Politika,91,Ekstraktivna,7.7027,0.0949,0.4324,0.274,0.1127,0.2192,0.6935
Politika,91,Apstraktivna,11.4,0.0316,0.08,1.0,1.0,1.0,1.0
Politika,91,ChatGPT,13.5714,0.0253,0.0,0.2182,0.0755,0.1455,0.7345
Politika,91,Gemini,12.3913,0.0316,0.087,0.1754,0.0727,0.1053,0.6667
Politika,91,Claude,15.0,0.0,0.0,0.08,0.0,0.08,0.6724
Politika,92,Ekstraktivna,8.2432,0.0667,0.2162,0.2973,0.0278,0.1351,0.7106
Politika,92,Apstraktivna,10.1667,0.0389,0.0667,1.0,1.0,1.0,1.0
Politika,92,ChatGPT,14.5238,0.0333,0.0,0.2182,0.0,0.1455,0.7018
Politika,92,Gemini,19.0625,0.0111,0.0,0.1154,0.0,0.1154,0.6477
Politika,92,Claude,16.9444,0.0056,0.0,0.0727,0.0377,0.0727,0.6773
Politika,93,Ekstraktivna,5.4848,0.1939,0.4848,0.1493,0.0,0.0896,0.6422
Politika,93,Apstraktivna,8.2273,0.0204,0.0,1.0,1.0,1.0,1.0
Politika,93,ChatGPT,9.05,0.051,0.2,0.2041,0.0,0.1633,0.6875
Politika,93,Gemini,10.0556,0.0918,0.3333,0.1333,0.0,0.1333,0.6889
Politika,93,Claude,10.6471,0.0,0.0,0.2273,0.0,0.1364,0.7541
